Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
J A N,5,Tauba Tera Jalwa,Akashaditya Lama,Jatin KhuranaAmeesha PatelAngela Krislinzki,"Shreeram Productions, Victorious Enterprises",[1]
J A N,12,Merry Christmas[a],Sriram Raghavan,Katrina KaifVijay Sethupathi,"Tips Industries, Matchbox Pictures",[2]
J A N,19,Main Atal Hoon,Ravi Jadhav,Pankaj Tripathi,"Bhanushali Studios, Legend Studios",[3]
J A N,19,Dashmi,Shantanu Anant Tambe,Aadil KhanVardhan PuriMonica Chaudhary,3S Movies,[4]
J A N,25,Fighter,Siddharth Anand,Deepika PadukoneHrithik RoshanAnil Kapoor,"Viacom18 Studios, Marflix Pictures",[5]
F E B,2,Section 108,Rasikh Khan,Nawazuddin SiddiquiRegina Cassandra,Cinemawala and Three Arrows Production,[6]
F E B,9,Untitled film,Amit JoshiAradhana Sah,Shahid KapoorKriti SanonDharmendraDimple Kapadia,"Maddock Films, Jio Studios",[7]
F E B,16,Untitled Soorarai Pottru Remake,Sudha Kongara,Akshay KumarParesh RawalRadhika Madan,"Cape of Good Films, 2D Entertainment, Sikhya Entertainment, Abundantia Entertainment",[8]
F E B,16,Love Sex Aur Dhokha 2,Dibakar Banerjee,,"Balaji Telefilms, Cult Movies",[9]
F E B,16,Operation Valentine[b],Shakti Pratap Singh Hada,Varun TejManushi ChhillarMir Sarwar,Sony Pictures International Productions Renaissance Pictures God Bless Entertainment,[10]
F E B,23,Mere Mehboob Mere Sanam,Anand Tiwari,Vicky KaushalAmmy VirkTripti Dimri,"Dharma Productions, Leo Media Collective, Amazon Prime Video",[11]
F E B,23,Crakk,Aditya Datt,Vidyut JammwalNora FatehiArjun RampalAmy Jackson,Action Hero Films,[12]
M A R,1,Laapataa Ladies,Kiran Rao,Ravi KishanNitanshi GoelPratibha RantaSparsh ShrivastavaChhaya Kadam,"Aamir Khan Productions, Jio Studios",[13]
M A R,8,Untitled film (Remake of Vash),Vikas Bahl,Ajay DevgnR. MadhavanJyothika,"Ajay Devgn FFilms, Jio Studios, Panorama Studios",[14]
M A R,15,Yodha,Sagar AmbrePushkar Ojha,Sidharth MalhotraDisha PataniRaashii Khanna,"Amazon MGM Studios, Dharma Productions, Mentor Disciple Entertainment",[15]
M A R,22,The Crew,Rajesh Krishnan,TabuKareena Kapoor KhanKriti SanonDiljit Dosanjh,"Balaji Telefilms, Anil Kapoor Films & Communication Network",[16]
M A R,29,Metro... In Dino,Anurag Basu,Aditya Roy KapurSara Ali KhanAnupam KherNeena GuptaPankaj TripathiKonkona Sen SharmaAli FazalFatima Sana Shaikh,"T-Series Films, Anurag Basu Productions",[17]
M A R,29,Munjhya,Aditya Sarpotdar,Abhay VermaSharvari WaghMona Singh,Maddock Films,[18]
