cast,director,opening_date,opening_year,title
"Arjun Kapoor,Tabu,Konkona Sen Sharma,Radhika Madan,Kumud Mishra,Shardul Bhardwaj",Aasmaan Bhardwaj,2023-01-13,2023,Kuttey
"Anshuman Jha,Riddhi Dogra,Milind Soman",Victor Mukherjee,2023-01-13,2023,Lakadbaggha
"Sidharth Malhotra,Rashmika Mandanna,Kumud Mishra,Sharib Hashmi",Shantanu Bagchi,2023-01-20,2023,Mission Majnu
"Rakul Preet Singh,Sumeet Vyas,Satish Kaushik,Rajesh Tailang,Dolly Ahluwalia",Tejas Deoskar,2023-01-20,2023,Chhatriwali
"Shah Rukh Khan,John Abraham,Deepika Padukone",Siddharth Anand,2023-01-25,2023,Pathaan
"Deepak Antani,Chinmay Mandlekar",Rajkumar Santoshi,2023-01-26,2023,Gandhi Godse – Ek Yudh
"Sunil Shetty,Randeep Hooda",Vishram Sawant,2023-01-26,2023,Operation Fryday[b]
"Alaya F,Karan Mehta",Anurag Kashyap,2023-02-03,2023,Almost Pyaar with DJ Mohabbat
"Zahan Kapoor,Aditya Rawal,Aamir Ali,Juhi Babbar",Hansal Mehta,2023-02-03,2023,Faraaz
"Anupam Kher,Neena Gupta,Jugal Hansraj,Nargis Fakhri,Sharib Hashmi",Ajayan Venugopalan,2023-02-10,2023,Shiv Shastri Balboa
"Shamita Shetty, Rudhraksh Jaiswal",Sushrut Jain,2023-02-10,2023,The Tenant[c]
"Yami Gautam,Pankaj Kapur,Rahul Khanna,Neil Bhoopalam,Pia Bajpiee,Tushar Pandey",Aniruddha Roy Chowdhury,2023-02-16,2023,Lost
"Kartik Aaryan,Kriti Sanon,Paresh Rawal,Manisha Koirala,Ronit Roy",Rohit Dhawan,2023-02-17,2023,Shehzada
"Akshay Kumar,Emraan Hashmi,Diana Penty,Nushrratt Bharuccha",Raj Mehta,2023-02-24,2023,Selfiee
"Sheeba Chadha,Nayab Khan,Helena Prinzen Klague",Shadab Khan,2023-02-24,2023,Rabia & Olivia
"Manoj Bajpayee,Sharmila Tagore,Simran,Suraj Sharma",Rahul V. Chittella,2023-03-03,2023,Gulmohar
"Ritika Singh,Manish Jhanjholia,Sandeep Goyat,Sunil Soni,Gyan Prakash",Harsh Warrdhan,2023-03-03,2023,InCar
"Ranbir Kapoor,Shraddha Kapoor",Luv Ranjan,2023-03-08,2023,Tu Jhoothi Main Makkaar
Rani Mukerji,Ashima Chibber,2023-03-17,2023,Mrs. Chatterjee vs Norway
"Kapil Sharma,Shahana Goswami",Nandita Das,2023-03-17,2023,Zwigato
"Anushka Sen,Neelu Dogra,Pooja Dargan,Tariq Khan,Ahmer Haider",Rahat Kazmi,2023-03-17,2023,Am I Next
"Yami Gautam,Sunny Kaushal,Sharad Kelkar",Ajay Singh,2023-03-24,2023,Chor Nikal Ke Bhaga
